CODE,NAICS DESCRIPTION,Employment_2004,Establishments_2004
442,Furniture and Home Furnishings Stores,"576,733","65,728"
443,Electronics and Appliance Stores,"457,819","49,020"
4451,Grocery Stores,"2,660,804","96,130"
448,Clothing and Clothing Accessories Stores,"1,555,098","149,831"
