,code,description,establishments,employment
9128,442,Furniture and Home Furnishings Stores,"51,103","426,855"
9218,443,Electronics and Appliance Stores,"47,998","408,456"
9407,4451,Grocery Stores,"93,590","2,606,330"
9731,448,Clothing and Clothing Accessories Stores,"146,350","1,710,141"
