NAICS Code,NAICS Description,Number of Establishments,Employees
442,Furniture and home furnishings stores,"52,703","424,221"
443,Electronics and appliance stores,"49,068","434,297"
4451,Grocery stores,"93,282","2,542,436"
448,Clothing and clothing accessories stores,"148,084","1,659,696"
