CODE,NAICS DESCRIPTION,Employment_2005,Establishments_2005
442,Furniture and Home Furnishings Stores,"575,629","66,396"
443,Electronics and Appliance Stores,"469,248","50,176"
4451,Grocery Stores,"2,642,609","95,929"
448,Clothing and Clothing Accessories Stores,"1,555,928","150,580"
