NAICS Code,NAICS Description,Number of Establishments,Employees
442,Furniture and home furnishings stores,"57,478","449,836"
443,Electronics and appliance stores,"48,489","448,946"
4451,Grocery stores,"90,259","2,561,669"
448,Clothing and clothing accessories stores,"150,205","1,535,923"
