CODE,NAICS DESCRIPTION,Employment_2000,Establishments_2000
442,Furniture & home furnishings stores,"549,184","64,842"
443,Electronics & appliance stores,"407,321","45,592"
4451,Grocery stores,"2,716,868","98,275"
448,Clothing & clothing accessories stores,"1,368,665","150,946"
