CODE,NAICS DESCRIPTION,Employment_2001,Establishments_2001
442,Furniture & home furnishings stores,"567,318","65,766"
443,Electronics & appliance stores,"425,736","47,747"
4451,Grocery stores,"2,665,804","99,357"
448,Clothing & clothing accessories stores,"1,392,626","151,668"
