,code,description,establishments,employment
9134,442,Furniture and Home Furnishings Stores,"50,336","445,240"
9224,443,Electronics and Appliance Stores,"46,731","407,409"
9413,4451,Grocery Stores,"95,514","2,800,048"
9737,448,Clothing and Clothing Accessories Stores,"146,694","1,711,022"
