CODE,NAICS DESCRIPTION,Employment_2003,Establishments_2003
442,Furniture and Home Furnishings Stores,"560,717","65,393"
443,Electronics and Appliance Stores,"419,321","47,746"
4451,Grocery Stores,"2,594,727","96,964"
448,Clothing and Clothing Accessories Stores,"1,467,427","148,012"
