CODE,NAICS DESCRIPTION,Employment_2002,Establishments_2002
442,Furniture & home furnishings stores,"551,567","66,360"
443,Electronics & appliance stores,"418,725","49,600"
4451,Grocery stores,"2,569,351","97,166"
448,Clothing & clothing accessories stores,"1,408,948","151,895"
