NAICS Code,NAICS Description,Number of Establishments,Employees
442,Furniture and Home Furnishings Stores,"65,485","596,538"
443,Electronics and Appliance Stores,"52,470","500,780"
4451,Grocery Stores,"92,315","2,564,533"
448,Clothing and Clothing Accessories Stores,"155,371","1,648,157"
