NAICS,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+
--,Total,Firms,"5,652,544","726,862","2,669,870","1,021,210","617,087","5,035,029","515,977","84,385","5,635,391","17,153"
--,Total,Establishments,"7,070,048","730,027","2,675,974","1,035,370","652,461","5,093,832","674,106","312,112","6,080,050","989,998"
--,Total,Employment,"114,064,976",0,"5,592,980","6,708,674","8,285,731","20,587,385","20,276,634","16,260,025","57,124,044","56,940,932"
--,Total,"Annual Payroll ($1,000)","3,879,430,052","38,594,167","147,581,389","174,383,913","230,564,411","591,123,880","608,446,434","527,544,627","1,727,114,941","2,152,315,111"
11,"Agriculture, forestry, fishing, & hunting",Firms,"25,450","4,410","12,410","4,627","2,367","23,814","1,315",224,"25,353",97
11,"Agriculture, forestry, fishing, & hunting",Establishments,"26,076","4,413","12,417","4,630","2,378","23,838","1,394",417,"25,649",427
11,"Agriculture, forestry, fishing, & hunting",Employment,"183,565",0,"25,083","30,354","31,002","86,439","46,326","29,065","161,830","21,735"
11,"Agriculture, forestry, fishing, & hunting","Annual Payroll ($1,000)","4,682,533","126,764","557,253","692,122","760,171","2,136,310","1,155,392","651,469","3,943,171","739,362"
113,Forestry and logging,Firms,"13,131","1,666","6,243","2,962","1,546","12,417",634,42,"13,093",38
113,Forestry and logging,Establishments,"13,347","1,669","6,246","2,964","1,548","12,427",652,47,"13,126",221
113,Forestry and logging,Employment,"83,143",0,"13,355","19,536","20,129","53,020","19,869","2,990","75,879","7,264"
113,Forestry and logging,"Annual Payroll ($1,000)","2,256,241","43,635","286,510","433,848","488,728","1,252,721","546,097","104,219","1,903,037","353,204"
1131,Timber tract operations,Firms,418,89,194,60,27,370,24,7,401,17
1131,Timber tract operations,Establishments,469,90,194,61,27,372,31,9,412,57
1131,Timber tract operations,Employment,"3,337",0,378,389,341,"1,108",[f],[e],"2,116","1,221"
1131,Timber tract operations,"Annual Payroll ($1,000)","132,021","2,989","10,050","10,760","12,208","36,007",(D),(D),"67,560","64,461"
11311,Timber tract operations,Firms,418,89,194,60,27,370,24,7,401,17
11311,Timber tract operations,Establishments,469,90,194,61,27,372,31,9,412,57
11311,Timber tract operations,Employment,"3,337",0,378,389,341,"1,108",[f],[e],"2,116","1,221"
11311,Timber tract operations,"Annual Payroll ($1,000)","132,021","2,989","10,050","10,760","12,208","36,007",(D),(D),"67,560","64,461"
113110,Timber tract operations,Firms,418,89,194,60,27,370,24,7,401,17
113110,Timber tract operations,Establishments,469,90,194,61,27,372,31,9,412,57
113110,Timber tract operations,Employment,"3,337",0,378,389,341,"1,108",[f],[e],"2,116","1,221"
113110,Timber tract operations,"Annual Payroll ($1,000)","132,021","2,989","10,050","10,760","12,208","36,007",(D),(D),"67,560","64,461"
1132,Forest nurseries & gathering forest products,Firms,191,40,86,30,14,170,13,3,186,5
1132,Forest nurseries & gathering forest products,Establishments,258,40,86,30,14,170,13,3,186,72
1132,Forest nurseries & gathering forest products,Employment,"1,677",0,182,192,168,542,[e],[b],"1,005",672
1132,Forest nurseries & gathering forest products,"Annual Payroll ($1,000)","66,968","1,672","4,719","4,099","3,613","14,103",(D),(D),"25,724","41,244"
11321,Forest nurseries & gathering forest products,Firms,191,40,86,30,14,170,13,3,186,5
11321,Forest nurseries & gathering forest products,Establishments,258,40,86,30,14,170,13,3,186,72
11321,Forest nurseries & gathering forest products,Employment,"1,677",0,182,192,168,542,[e],[b],"1,005",672
11321,Forest nurseries & gathering forest products,"Annual Payroll ($1,000)","66,968","1,672","4,719","4,099","3,613","14,103",(D),(D),"25,724","41,244"
113210,Forest nurseries & gathering forest products,Firms,191,40,86,30,14,170,13,3,186,5
