,,,,,,,    Employment Size of the Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33635,Motor Vehicle Transmission and Power Train Parts Manufacturing,"Annual Payroll ($1,000)","5,461,324","2,807","7,639","11,801","24,255","46,502","116,051","325,892","488,445","4,972,879",,,,,,,,,,,,,,,,,,,,,,,,
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,Firms,430,22,117,63,52,254,79,43,376,54,,,,,,,,,,,,,,,,,,,,,,,,
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,Establishments,536,22,117,63,52,254,82,48,384,152,,,,,,,,,,,,,,,,,,,,,,,,
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,Employment,"93,687",0,264,399,718,"1,381","3,398","7,166","11,945","81,742",,,,,,,,,,,,,,,,,,,,,,,,
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,"Annual Payroll ($1,000)","5,461,324","2,807","7,639","11,801","24,255","46,502","116,051","325,892","488,445","4,972,879",,,,,,,,,,,,,,,,,,,,,,,,
33636,Motor Vehicle Seating and Interior Trim Manufacturing,Firms,294,20,49,44,35,148,72,37,257,37,,,,,,,,,,,,,,,,,,,,,,,,
33636,Motor Vehicle Seating and Interior Trim Manufacturing,Establishments,392,20,49,44,35,148,72,41,261,131,,,,,,,,,,,,,,,,,,,,,,,,
33636,Motor Vehicle Seating and Interior Trim Manufacturing,Employment,"54,858",0,124,287,468,879,"3,154","6,740","10,773","44,085",,,,,,,,,,,,,,,,,,,,,,,,
33636,Motor Vehicle Seating and Interior Trim Manufacturing,"Annual Payroll ($1,000)","2,154,496","1,573","2,809","7,010","12,219","23,611","97,725","198,159","319,495","1,835,001",,,,,,,,,,,,,,,,,,,,,,,,
336360,Motor Vehicle Seating and Interior Trim Manufacturing,Firms,294,20,49,44,35,148,72,37,257,37,,,,,,,,,,,,,,,,,,,,,,,,
336360,Motor Vehicle Seating and Interior Trim Manufacturing,Establishments,392,20,49,44,35,148,72,41,261,131,,,,,,,,,,,,,,,,,,,,,,,,
336360,Motor Vehicle Seating and Interior Trim Manufacturing,Employment,"54,858",0,124,287,468,879,"3,154","6,740","10,773","44,085",,,,,,,,,,,,,,,,,,,,,,,,
336360,Motor Vehicle Seating and Interior Trim Manufacturing,"Annual Payroll ($1,000)","2,154,496","1,573","2,809","7,010","12,219","23,611","97,725","198,159","319,495","1,835,001",,,,,,,,,,,,,,,,,,,,,,,,
33637,Motor Vehicle Metal Stamping,Firms,650,13,47,57,72,189,247,132,568,82,,,,,,,,,,,,,,,,,,,,,,,,
33637,Motor Vehicle Metal Stamping,Establishments,790,13,47,57,72,189,253,158,600,190,,,,,,,,,,,,,,,,,,,,,,,,
33637,Motor Vehicle Metal Stamping,Employment,"115,517",0,95,359,"1,018","1,472","11,445","23,792","36,709","78,808",,,,,,,,,,,,,,,,,,,,,,,,
33637,Motor Vehicle Metal Stamping,"Annual Payroll ($1,000)","5,914,968",257,"4,437","13,196","40,154","58,044","457,405","905,048","1,420,497","4,494,471",,,,,,,,,,,,,,,,,,,,,,,,
336370,Motor Vehicle Metal Stamping,Firms,650,13,47,57,72,189,247,132,568,82,,,,,,,,,,,,,,,,,,,,,,,,
336370,Motor Vehicle Metal Stamping,Establishments,790,13,47,57,72,189,253,158,600,190,,,,,,,,,,,,,,,,,,,,,,,,
336370,Motor Vehicle Metal Stamping,Employment,"115,517",0,95,359,"1,018","1,472","11,445","23,792","36,709","78,808",,,,,,,,,,,,,,,,,,,,,,,,
336370,Motor Vehicle Metal Stamping,"Annual Payroll ($1,000)","5,914,968",257,"4,437","13,196","40,154","58,044","457,405","905,048","1,420,497","4,494,471",,,,,,,,,,,,,,,,,,,,,,,,
33639,Other Motor Vehicle Parts Manufacturing,Firms,"1,224",75,244,164,159,642,288,148,"1,078",146,,,,,,,,,,,,,,,,,,,,,,,,
33639,Other Motor Vehicle Parts Manufacturing,Establishments,"1,516",75,246,164,161,646,305,182,"1,133",383,,,,,,,,,,,,,,,,,,,,,,,,
33639,Other Motor Vehicle Parts Manufacturing,Employment,"162,242",0,577,"1,115","2,183","3,875","12,208","24,441","40,524","121,718",,,,,,,,,,,,,,,,,,,,,,,,
33639,Other Motor Vehicle Parts Manufacturing,"Annual Payroll ($1,000)","6,083,632","33,375","16,425","34,822","67,318","151,940","414,196","817,145","1,383,281","4,700,351",,,,,,,,,,,,,,,,,,,,,,,,
336391,Motor Vehicle Air-Conditioning Manufacturing,Firms,77,3,15,12,13,43,18,7,68,9,,,,,,,,,,,,,,,,,,,,,,,,
336391,Motor Vehicle Air-Conditioning Manufacturing,Establishments,87,3,15,12,13,43,19,8,70,17,,,,,,,,,,,,,,,,,,,,,,,,
336391,Motor Vehicle Air-Conditioning Manufacturing,Employment,"15,431",0,35,73,171,279,869,"1,127","2,275","13,156",,,,,,,,,,,,,,,,,,,,,,,,
336391,Motor Vehicle Air-Conditioning Manufacturing,"Annual Payroll ($1,000)","718,505",109,955,"2,181","4,586","7,831","33,788","41,702","83,321","635,184",,,,,,,,,,,,,,,,,,,,,,,,
336399,All Other Motor Vehicle Parts Manufacturing,Firms,"1,151",72,229,152,146,599,270,142,"1,011",140,,,,,,,,,,,,,,,,,,,,,,,,
336399,All Other Motor Vehicle Parts Manufacturing,Establishments,"1,429",72,231,152,148,603,286,174,"1,063",366,,,,,,,,,,,,,,,,,,,,,,,,
336399,All Other Motor Vehicle Parts Manufacturing,Employment,"146,811",0,542,"1,042","2,012","3,596","11,339","23,314","38,249","108,562",,,,,,,,,,,,,,,,,,,,,,,,
336399,All Other Motor Vehicle Parts Manufacturing,"Annual Payroll ($1,000)","5,365,127","33,266","15,470","32,641","62,732","144,109","380,408","775,443","1,299,960","4,065,167",,,,,,,,,,,,,,,,,,,,,,,,
3364,Aerospace Product and Parts Manufacturing,Firms,"1,243",87,262,182,194,725,314,112,"1,151",92,,,,,,,,,,,,,,,,,,,,,,,,
3364,Aerospace Product and Parts Manufacturing,Establishments,"1,584",87,262,182,194,725,320,139,"1,184",400,,,,,,,,,,,,,,,,,,,,,,,,
