,,,,,,,    Employment Size of the Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+,,,,,,,,,,,,,,,,,,,,,,,,
--,Total,Firms,"5,885,784","802,034","2,777,680","1,043,448","632,682","5,255,844","526,355","86,538","5,868,737","17,047",,,,,,,,,,,,,,,,,,,,,,,,
--,Total,Establishments,"7,387,724","803,355","2,782,252","1,055,937","666,574","5,308,118","692,677","330,447","6,331,242","1,056,482",,,,,,,,,,,,,,,,,,,,,,,,
--,Total,Employment,"115,074,924",0,"5,844,637","6,852,769","8,499,681","21,197,087","20,642,614","16,757,751","58,597,452","56,477,472",,,,,,,,,,,,,,,,,,,,,,,,
--,Total,"Annual Payroll ($1,000)","4,253,995,732","40,043,549","165,904,564","195,519,100","257,802,789","659,270,002","670,418,442","587,676,161","1,917,364,605","2,336,631,127",,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Firms,"24,873","4,391","12,331","4,209","2,203","23,134","1,431",217,"24,782",91,,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Establishments,"25,528","4,391","12,342","4,215","2,212","23,160","1,505",398,"25,063",465,,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Employment,"182,121",0,"24,985","27,667","29,111","81,763",[k],[k],[m],[j],,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support","Annual Payroll ($1,000)","5,224,036","141,543","611,140","731,548","809,663","2,293,894",(D),(D),(D),(D),,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Firms,"11,518","1,485","5,485","2,478","1,348","10,796",652,36,"11,484",34,,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Establishments,"11,707","1,485","5,490","2,479","1,348","10,802",666,64,"11,532",175,,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Employment,"75,966",0,"12,000","16,399","17,813","46,212","20,287",[h],[l],[i],,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,"Annual Payroll ($1,000)","2,312,516","49,896","281,504","427,508","503,101","1,262,009","590,062",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Firms,473,73,257,60,39,429,18,8,455,18,,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Establishments,521,73,257,61,39,430,19,13,462,59,,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Employment,"5,023",0,487,393,498,"1,378",490,503,"2,371","2,652",,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,"Annual Payroll ($1,000)","209,978","2,424","13,978","13,562","18,513","48,477","22,261","16,556","87,294","122,684",,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Firms,473,73,257,60,39,429,18,8,455,18,,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Establishments,521,73,257,61,39,430,19,13,462,59,,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Employment,"5,023",0,487,393,498,"1,378",490,503,"2,371","2,652",,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,"Annual Payroll ($1,000)","209,978","2,424","13,978","13,562","18,513","48,477","22,261","16,556","87,294","122,684",,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Firms,473,73,257,60,39,429,18,8,455,18,,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Establishments,521,73,257,61,39,430,19,13,462,59,,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Employment,"5,023",0,487,393,498,"1,378",490,503,"2,371","2,652",,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,"Annual Payroll ($1,000)","209,978","2,424","13,978","13,562","18,513","48,477","22,261","16,556","87,294","122,684",,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Firms,211,48,86,32,25,191,10,4,205,6,,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Establishments,260,48,86,32,25,191,10,4,205,55,,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Employment,"1,936",0,170,211,315,696,415,[e],[g],[f],,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","64,102","1,669","4,130","6,067","7,423","19,289","7,336",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Firms,211,48,86,32,25,191,10,4,205,6,,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Establishments,260,48,86,32,25,191,10,4,205,55,,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Employment,"1,936",0,170,211,315,696,415,[e],[g],[f],,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","64,102","1,669","4,130","6,067","7,423","19,289","7,336",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Firms,211,48,86,32,25,191,10,4,205,6,,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Establishments,260,48,86,32,25,191,10,4,205,55,,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Employment,"1,936",0,170,211,315,696,415,[e],[g],[f],,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","64,102","1,669","4,130","6,067","7,423","19,289","7,336",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Firms,"10,846","1,364","5,143","2,386","1,284","10,177",625,24,"10,826",20,,,,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Establishments,"10,926","1,364","5,147","2,386","1,284","10,181",637,47,"10,865",61,,,,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Employment,"69,007",0,"11,343","15,795","17,000","44,138","19,382","1,714","65,234","3,773",,,,,,,,,,,,,,,,,,,,,,,,
1133,Logging,"Annual Payroll ($1,000)","2,038,436","45,803","263,396","407,879","477,165","1,194,243","560,465","65,587","1,820,295","218,141",,,,,,,,,,,,,,,,,,,,,,,,
