NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0-4,5-9,10-19,<20,20-99,100-499,<500,500+,,,,,,,,,,,,,,,,,,,,,
11421,Hunting and Trapping,"Annual Payroll ($1,000)","50,071","8,409","5,492","6,198","20,099",(D),(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
114210,Hunting and Trapping,Firms,368,290,41,23,354,11,2,367,1,,,,,,,,,,,,,,,,,,,,,
114210,Hunting and Trapping,Establishments,368,290,41,23,354,11,2,367,1,,,,,,,,,,,,,,,,,,,,,
114210,Hunting and Trapping,Employment,"1,730",335,285,319,939,[e],[e],[g],[a],,,,,,,,,,,,,,,,,,,,,
114210,Hunting and Trapping,"Annual Payroll ($1,000)","50,071","8,409","5,492","6,198","20,099",(D),(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
115,Support Activities for Agriculture and Forestry,Firms,"10,192","7,312","1,356",685,"9,353",621,158,"10,132",60,,,,,,,,,,,,,,,,,,,,,
115,Support Activities for Agriculture and Forestry,Establishments,"10,639","7,317","1,361",692,"9,370",695,292,"10,357",282,,,,,,,,,,,,,,,,,,,,,
115,Support Activities for Agriculture and Forestry,Employment,"92,001","10,251","8,725","9,097","28,073","23,743","21,308","73,124","18,877",,,,,,,,,,,,,,,,,,,,,
115,Support Activities for Agriculture and Forestry,"Annual Payroll ($1,000)","2,515,988","334,705","235,917","253,778","824,400","647,473","502,500","1,974,373","541,615",,,,,,,,,,,,,,,,,,,,,
1151,Support Activities for Crop Production,Firms,"4,333","2,829",608,368,"3,805",373,120,"4,298",35,,,,,,,,,,,,,,,,,,,,,
1151,Support Activities for Crop Production,Establishments,"4,665","2,832",611,373,"3,816",418,211,"4,445",220,,,,,,,,,,,,,,,,,,,,,
1151,Support Activities for Crop Production,Employment,"58,893","3,937","3,962","4,950","12,849","14,900","16,183","43,932","14,961",,,,,,,,,,,,,,,,,,,,,
1151,Support Activities for Crop Production,"Annual Payroll ($1,000)","1,616,334","168,968","131,418","155,962","456,348","413,076","363,987","1,233,411","382,923",,,,,,,,,,,,,,,,,,,,,
11511,Support Activities for Crop Production,Firms,"4,333","2,829",608,368,"3,805",373,120,"4,298",35,,,,,,,,,,,,,,,,,,,,,
11511,Support Activities for Crop Production,Establishments,"4,665","2,832",611,373,"3,816",418,211,"4,445",220,,,,,,,,,,,,,,,,,,,,,
11511,Support Activities for Crop Production,Employment,"58,893","3,937","3,962","4,950","12,849","14,900","16,183","43,932","14,961",,,,,,,,,,,,,,,,,,,,,
11511,Support Activities for Crop Production,"Annual Payroll ($1,000)","1,616,334","168,968","131,418","155,962","456,348","413,076","363,987","1,233,411","382,923",,,,,,,,,,,,,,,,,,,,,
115111,Cotton Ginning,Firms,267,97,56,64,217,44,5,266,1,,,,,,,,,,,,,,,,,,,,,
115111,Cotton Ginning,Establishments,288,97,56,64,217,47,23,287,1,,,,,,,,,,,,,,,,,,,,,
115111,Cotton Ginning,Employment,"2,946",184,383,850,"1,417","1,293",[c],[h],[a],,,,,,,,,,,,,,,,,,,,,
115111,Cotton Ginning,"Annual Payroll ($1,000)","97,298","11,067","16,273","26,782","54,122","30,956",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
115112,"Soil Preparation, Planting, and Cultivating",Firms,"1,981","1,462",296,132,"1,890",70,18,"1,978",3,,,,,,,,,,,,,,,,,,,,,
115112,"Soil Preparation, Planting, and Cultivating",Establishments,"2,047","1,462",297,133,"1,892",72,18,"1,982",65,,,,,,,,,,,,,,,,,,,,,
115112,"Soil Preparation, Planting, and Cultivating",Employment,"11,182","2,106","1,923","1,721","5,750","2,346",[g],[i],[g],,,,,,,,,,,,,,,,,,,,,
115112,"Soil Preparation, Planting, and Cultivating","Annual Payroll ($1,000)","375,684","80,574","62,249","55,024","197,847","79,202",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
115113,"Crop Harvesting, Primarily by Machine",Firms,320,233,40,18,291,18,10,319,1,,,,,,,,,,,,,,,,,,,,,
115113,"Crop Harvesting, Primarily by Machine",Establishments,322,233,40,18,291,18,12,321,1,,,,,,,,,,,,,,,,,,,,,
115113,"Crop Harvesting, Primarily by Machine",Employment,"2,877",308,253,257,818,629,[f],[g],[f],,,,,,,,,,,,,,,,,,,,,
115113,"Crop Harvesting, Primarily by Machine","Annual Payroll ($1,000)","61,307","11,716","7,764","8,653","28,133","18,492",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
115114,Postharvest Crop Activities (except Cotton Ginning),Firms,824,351,123,79,553,169,72,794,30,,,,,,,,,,,,,,,,,,,,,
115114,Postharvest Crop Activities (except Cotton Ginning),Establishments,"1,026",351,125,82,558,204,114,876,150,,,,,,,,,,,,,,,,,,,,,
115114,Postharvest Crop Activities (except Cotton Ginning),Employment,"31,576",494,791,"1,068","2,353","7,535","9,567","19,455","12,121",,,,,,,,,,,,,,,,,,,,,
115114,Postharvest Crop Activities (except Cotton Ginning),"Annual Payroll ($1,000)","849,149","29,216","26,716","33,930","89,862","221,440","212,139","523,441","325,708",,,,,,,,,,,,,,,,,,,,,
115115,Farm Labor Contractors and Crew Leaders,Firms,476,332,50,32,414,45,16,475,1,,,,,,,,,,,,,,,,,,,,,
115115,Farm Labor Contractors and Crew Leaders,Establishments,478,332,50,32,414,45,18,477,1,,,,,,,,,,,,,,,,,,,,,
115115,Farm Labor Contractors and Crew Leaders,Employment,"6,618",350,336,450,"1,136","1,938",[h],[i],[f],,,,,,,,,,,,,,,,,,,,,
115115,Farm Labor Contractors and Crew Leaders,"Annual Payroll ($1,000)","112,904","18,010","9,601","9,110","36,721","33,541",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
115116,Farm Management Services,Firms,484,355,43,44,442,31,9,482,2,,,,,,,,,,,,,,,,,,,,,
115116,Farm Management Services,Establishments,504,357,43,44,444,32,26,502,2,,,,,,,,,,,,,,,,,,,,,
115116,Farm Management Services,Employment,"3,694",495,276,604,"1,375","1,159",[f],[h],[c],,,,,,,,,,,,,,,,,,,,,
115116,Farm Management Services,"Annual Payroll ($1,000)","119,992","18,385","8,815","22,463","49,663","29,445",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
1152,Support Activities for Animal Production,Firms,"4,207","3,286",544,227,"4,057",119,20,"4,196",11,,,,,,,,,,,,,,,,,,,,,
1152,Support Activities for Animal Production,Establishments,"4,273","3,288",546,228,"4,062",122,63,"4,247",26,,,,,,,,,,,,,,,,,,,,,
1152,Support Activities for Animal Production,Employment,"18,848","4,805","3,438","2,909","11,152","3,838","2,690","17,680","1,168",,,,,,,,,,,,,,,,,,,,,
1152,Support Activities for Animal Production,"Annual Payroll ($1,000)","476,792","103,764","65,153","59,947","228,864","97,787","101,458","428,109","48,683",,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,Firms,"4,207","3,286",544,227,"4,057",119,20,"4,196",11,,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,Establishments,"4,273","3,288",546,228,"4,062",122,63,"4,247",26,,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,Employment,"18,848","4,805","3,438","2,909","11,152","3,838","2,690","17,680","1,168",,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,"Annual Payroll ($1,000)","476,792","103,764","65,153","59,947","228,864","97,787","101,458","428,109","48,683",,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,Firms,"4,207","3,286",544,227,"4,057",119,20,"4,196",11,,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,Establishments,"4,273","3,288",546,228,"4,062",122,63,"4,247",26,,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,Employment,"18,848","4,805","3,438","2,909","11,152","3,838","2,690","17,680","1,168",,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,"Annual Payroll ($1,000)","476,792","103,764","65,153","59,947","228,864","97,787","101,458","428,109","48,683",,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,Firms,"1,654","1,197",204,90,"1,491",129,18,"1,638",16,,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,Establishments,"1,701","1,197",204,91,"1,492",155,18,"1,665",36,,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,Employment,"14,260","1,509","1,325","1,238","4,072","5,005","2,435","11,512","2,748",,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,"Annual Payroll ($1,000)","422,862","61,973","39,346","37,869","139,188","136,610","37,055","312,853","110,009",,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,Firms,"1,654","1,197",204,90,"1,491",129,18,"1,638",16,,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,Establishments,"1,701","1,197",204,91,"1,492",155,18,"1,665",36,,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,Employment,"14,260","1,509","1,325","1,238","4,072","5,005","2,435","11,512","2,748",,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,"Annual Payroll ($1,000)","422,862","61,973","39,346","37,869","139,188","136,610","37,055","312,853","110,009",,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,Firms,"1,654","1,197",204,90,"1,491",129,18,"1,638",16,,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,Establishments,"1,701","1,197",204,91,"1,492",155,18,"1,665",36,,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,Employment,"14,260","1,509","1,325","1,238","4,072","5,005","2,435","11,512","2,748",,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,"Annual Payroll ($1,000)","422,862","61,973","39,346","37,869","139,188","136,610","37,055","312,853","110,009",,,,,,,,,,,,,,,,,,,,,
21,Mining,Firms,"19,406","11,040","2,993","2,275","16,308","2,288",495,"19,091",315,,,,,,,,,,,,,,,,,,,,,
21,Mining,Establishments,"24,696","11,066","3,061","2,385","16,512","2,861","1,284","20,657","4,039",,,,,,,,,,,,,,,,,,,,,
21,Mining,Employment,"497,272","17,125","19,761","30,599","67,485","85,381","66,869","219,735","277,537",,,,,,,,,,,,,,,,,,,,,
21,Mining,"Annual Payroll ($1,000)","30,823,272","1,069,178","882,599","1,430,229","3,382,006","4,414,204","4,182,392","11,978,602","18,844,670",,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,Firms,"6,317","4,375",929,496,"5,800",342,88,"6,230",87,,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,Establishments,"7,390","4,385",953,508,"5,846",422,261,"6,529",861,,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,Employment,"85,562","7,010","5,974","6,452","19,436","12,353","11,824","43,613","41,949",,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,"Annual Payroll ($1,000)","7,743,489","424,546","317,291","402,884","1,144,721","990,614","1,238,332","3,373,667","4,369,822",,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,Firms,"6,317","4,375",929,496,"5,800",342,88,"6,230",87,,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,Establishments,"7,390","4,385",953,508,"5,846",422,261,"6,529",861,,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,Employment,"85,562","7,010","5,974","6,452","19,436","12,353","11,824","43,613","41,949",,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,"Annual Payroll ($1,000)","7,743,489","424,546","317,291","402,884","1,144,721","990,614","1,238,332","3,373,667","4,369,822",,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,Firms,"6,317","4,375",929,496,"5,800",342,88,"6,230",87,,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,Establishments,"7,390","4,385",953,508,"5,846",422,261,"6,529",861,,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,Employment,"85,562","7,010","5,974","6,452","19,436","12,353","11,824","43,613","41,949",,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,"Annual Payroll ($1,000)","7,743,489","424,546","317,291","402,884","1,144,721","990,614","1,238,332","3,373,667","4,369,822",,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,Firms,"6,215","4,321",918,489,"5,728",329,80,"6,137",78,,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,Establishments,"6,948","4,331",942,501,"5,774",406,230,"6,410",538,,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,Employment,"72,350","6,925","5,903","6,359","19,187","11,852","10,881","41,920","30,430",,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,"Annual Payroll ($1,000)","6,612,547","418,414","311,695","398,472","1,128,581","963,676","1,182,593","3,274,850","3,337,697",,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,Firms,137,54,11,7,72,14,14,100,37,,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,Establishments,442,54,11,7,72,16,31,119,323,,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,Employment,"13,212",85,71,93,249,501,943,"1,693","11,519",,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,"Annual Payroll ($1,000)","1,130,942","6,132","5,596","4,412","16,140","26,938","55,739","98,817","1,032,125",,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),Firms,"4,537","1,785",740,731,"3,256",871,244,"4,371",166,,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),Establishments,"7,130","1,786",744,746,"3,276","1,089",662,"5,027","2,103",,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),Employment,"196,940","2,864","4,946","9,877","17,687","31,251","28,884","77,822","119,118",,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),"Annual Payroll ($1,000)","10,892,679","165,252","188,689","407,773","761,714","1,421,648","1,549,270","3,732,632","7,160,047",,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,Firms,703,180,93,94,367,233,60,660,43,,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,Establishments,"1,132",181,96,97,374,255,136,765,367,,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,Employment,"74,260",230,614,"1,352","2,196","9,656","10,957","22,809","51,451",,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,"Annual Payroll ($1,000)","4,557,768","28,738","23,003","59,156","110,897","459,014","599,940","1,169,851","3,387,917",,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,Firms,703,180,93,94,367,233,60,660,43,,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,Establishments,"1,132",181,96,97,374,255,136,765,367,,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,Employment,"74,260",230,614,"1,352","2,196","9,656","10,957","22,809","51,451",,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,"Annual Payroll ($1,000)","4,557,768","28,738","23,003","59,156","110,897","459,014","599,940","1,169,851","3,387,917",,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,Firms,383,108,56,39,203,110,36,349,34,,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,Establishments,587,108,59,40,207,121,72,400,187,,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,Employment,"33,252",150,[e],562,[g],"4,739","5,444",[j],[j],,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,"Annual Payroll ($1,000)","2,029,283","16,954",(D),"25,376",(D),"237,873","292,465",(D),(D),,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,Firms,296,57,25,44,126,112,30,268,28,,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,Establishments,479,57,25,44,126,116,58,300,179,,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,Employment,"39,699",43,166,634,843,"4,439","5,173","10,455","29,244",,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,"Annual Payroll ($1,000)","2,460,738","10,387","6,765","24,849","42,001","201,156","290,023","533,180","1,927,558",,,,,,,,,,,,,,,,,,,,,
