NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0-4,5-9,10-19,<20,20-99,100-499,<500,500+,,,,,,,,,,,,,,,,,,,,,
--,Total,Firms,"5,983,546","3,677,879","1,050,062","629,946","5,357,887","520,897","87,285","5,966,069","17,477",,,,,,,,,,,,,,,,,,,,,
--,Total,Establishments,"7,499,702","3,684,047","1,062,907","662,197","5,409,151","679,382","331,999","6,420,532","1,079,170",,,,,,,,,,,,,,,,,,,,,
--,Total,Employment,"116,317,003","5,936,859","6,898,483","8,453,854","21,289,196","20,444,349","16,911,040","58,644,585","57,672,418",,,,,,,,,,,,,,,,,,,,,
--,Total,"Annual Payroll ($1,000)","4,482,722,481","220,009,104","206,178,084","269,416,918","695,604,106","700,453,403","616,524,232","2,012,581,741","2,470,140,740",,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Firms,"23,447","16,060","3,876","2,021","21,957","1,190",205,"23,352",95,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Establishments,"24,102","16,071","3,882","2,028","21,981","1,287",366,"23,634",468,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Employment,"168,744","23,407","25,486","26,736","75,629",[k],[k],"142,615","26,129",,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support","Annual Payroll ($1,000)","5,095,741","742,548","690,521","788,642","2,221,711",(D),(D),"4,162,097","933,644",,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Firms,"10,860","6,603","2,390","1,273","10,266",526,35,"10,827",33,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Establishments,"11,048","6,609","2,391","1,273","10,273",541,60,"10,874",174,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Employment,"69,541","11,315","15,909","16,799","44,023","16,297",[h],[l],[i],,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,"Annual Payroll ($1,000)","2,266,199","325,953","431,602","508,004","1,265,559","554,131",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Firms,425,300,59,27,386,17,6,409,16,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Establishments,472,301,60,27,388,20,8,416,56,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Employment,"4,524",426,387,370,"1,183",475,339,"1,997","2,527",,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,"Annual Payroll ($1,000)","192,551","18,494","13,529","13,066","45,089","24,546","8,682","78,317","114,234",,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Firms,425,300,59,27,386,17,6,409,16,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Establishments,472,301,60,27,388,20,8,416,56,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Employment,"4,524",426,387,370,"1,183",475,339,"1,997","2,527",,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,"Annual Payroll ($1,000)","192,551","18,494","13,529","13,066","45,089","24,546","8,682","78,317","114,234",,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Firms,425,300,59,27,386,17,6,409,16,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Establishments,472,301,60,27,388,20,8,416,56,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Employment,"4,524",426,387,370,"1,183",475,339,"1,997","2,527",,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,"Annual Payroll ($1,000)","192,551","18,494","13,529","13,066","45,089","24,546","8,682","78,317","114,234",,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Firms,165,94,28,22,144,12,3,159,6,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Establishments,219,94,28,22,144,13,3,160,59,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Employment,"1,791",116,189,288,593,460,[c],[g],[f],,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","60,929","3,506","4,855","5,902","14,263","9,176",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Firms,165,94,28,22,144,12,3,159,6,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Establishments,219,94,28,22,144,13,3,160,59,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Employment,"1,791",116,189,288,593,460,[c],[g],[f],,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","60,929","3,506","4,855","5,902","14,263","9,176",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Firms,165,94,28,22,144,12,3,159,6,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Establishments,219,94,28,22,144,13,3,160,59,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Employment,"1,791",116,189,288,593,460,[c],[g],[f],,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","60,929","3,506","4,855","5,902","14,263","9,176",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
1133,Logging,Firms,"10,282","6,210","2,303","1,224","9,737",498,26,"10,261",21,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Establishments,"10,357","6,214","2,303","1,224","9,741",508,49,"10,298",59,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Employment,"63,226","10,773","15,333","16,141","42,247","15,362","1,966","59,575","3,651",,,,,,,,,,,,,,,,,,,,,
1133,Logging,"Annual Payroll ($1,000)","2,012,719","303,953","413,218","489,036","1,206,207","520,409","74,462","1,801,078","211,641",,,,,,,,,,,,,,,,,,,,,
11331,Logging,Firms,"10,282","6,210","2,303","1,224","9,737",498,26,"10,261",21,,,,,,,,,,,,,,,,,,,,,
11331,Logging,Establishments,"10,357","6,214","2,303","1,224","9,741",508,49,"10,298",59,,,,,,,,,,,,,,,,,,,,,
11331,Logging,Employment,"63,226","10,773","15,333","16,141","42,247","15,362","1,966","59,575","3,651",,,,,,,,,,,,,,,,,,,,,
11331,Logging,"Annual Payroll ($1,000)","2,012,719","303,953","413,218","489,036","1,206,207","520,409","74,462","1,801,078","211,641",,,,,,,,,,,,,,,,,,,,,
113310,Logging,Firms,"10,282","6,210","2,303","1,224","9,737",498,26,"10,261",21,,,,,,,,,,,,,,,,,,,,,
113310,Logging,Establishments,"10,357","6,214","2,303","1,224","9,741",508,49,"10,298",59,,,,,,,,,,,,,,,,,,,,,
113310,Logging,Employment,"63,226","10,773","15,333","16,141","42,247","15,362","1,966","59,575","3,651",,,,,,,,,,,,,,,,,,,,,
113310,Logging,"Annual Payroll ($1,000)","2,012,719","303,953","413,218","489,036","1,206,207","520,409","74,462","1,801,078","211,641",,,,,,,,,,,,,,,,,,,,,
114,"Fishing, Hunting and Trapping",Firms,"2,401","2,145",130,63,"2,338",46,12,"2,396",5,,,,,,,,,,,,,,,,,,,,,
114,"Fishing, Hunting and Trapping",Establishments,"2,415","2,145",130,63,"2,338",51,14,"2,403",12,,,,,,,,,,,,,,,,,,,,,
114,"Fishing, Hunting and Trapping",Employment,"7,202","1,841",852,840,"3,533",[g],[g],[i],[f],,,,,,,,,,,,,,,,,,,,,
114,"Fishing, Hunting and Trapping","Annual Payroll ($1,000)","313,554","81,890","23,002","26,860","131,752",(D),(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
1141,Fishing,Firms,"2,034","1,855",89,40,"1,984",35,10,"2,029",5,,,,,,,,,,,,,,,,,,,,,
1141,Fishing,Establishments,"2,047","1,855",89,40,"1,984",40,12,"2,036",11,,,,,,,,,,,,,,,,,,,,,
1141,Fishing,Employment,"5,472","1,506",567,521,"2,594",[g],"1,182",[h],[f],,,,,,,,,,,,,,,,,,,,,
1141,Fishing,"Annual Payroll ($1,000)","263,483","73,481","17,510","20,662","111,653",(D),"63,386",(D),(D),,,,,,,,,,,,,,,,,,,,,
11411,Fishing,Firms,"2,034","1,855",89,40,"1,984",35,10,"2,029",5,,,,,,,,,,,,,,,,,,,,,
11411,Fishing,Establishments,"2,047","1,855",89,40,"1,984",40,12,"2,036",11,,,,,,,,,,,,,,,,,,,,,
11411,Fishing,Employment,"5,472","1,506",567,521,"2,594",[g],"1,182",[h],[f],,,,,,,,,,,,,,,,,,,,,
11411,Fishing,"Annual Payroll ($1,000)","263,483","73,481","17,510","20,662","111,653",(D),"63,386",(D),(D),,,,,,,,,,,,,,,,,,,,,
114111,Finfish Fishing,Firms,"1,131","1,025",55,18,"1,098",21,7,"1,126",5,,,,,,,,,,,,,,,,,,,,,
114111,Finfish Fishing,Establishments,"1,142","1,025",55,18,"1,098",25,8,"1,131",11,,,,,,,,,,,,,,,,,,,,,
114111,Finfish Fishing,Employment,"3,491",835,353,258,"1,446",[f],[f],[h],[f],,,,,,,,,,,,,,,,,,,,,
114111,Finfish Fishing,"Annual Payroll ($1,000)","199,702","43,280","13,069","14,714","71,063",(D),(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
114112,Shellfish Fishing,Firms,893,823,33,22,878,12,3,893,0,,,,,,,,,,,,,,,,,,,,,
114112,Shellfish Fishing,Establishments,895,823,33,22,878,13,4,895,0,,,,,,,,,,,,,,,,,,,,,
114112,Shellfish Fishing,Employment,[g],666,[c],263,[g],[e],[e],[g],0,,,,,,,,,,,,,,,,,,,,,
114112,Shellfish Fishing,"Annual Payroll ($1,000)",(D),"30,048",(D),"5,948",(D),(D),(D),(D),0,,,,,,,,,,,,,,,,,,,,,
114119,Other Marine Fishing,Firms,10,7,1,0,8,2,0,10,0,,,,,,,,,,,,,,,,,,,,,
114119,Other Marine Fishing,Establishments,10,7,1,0,8,2,0,10,0,,,,,,,,,,,,,,,,,,,,,
114119,Other Marine Fishing,Employment,[b],5,[a],0,[a],[b],0,[b],0,,,,,,,,,,,,,,,,,,,,,
114119,Other Marine Fishing,"Annual Payroll ($1,000)",(D),153,(D),0,(D),(D),0,(D),0,,,,,,,,,,,,,,,,,,,,,
1142,Hunting and Trapping,Firms,368,290,41,23,354,11,2,367,1,,,,,,,,,,,,,,,,,,,,,
1142,Hunting and Trapping,Establishments,368,290,41,23,354,11,2,367,1,,,,,,,,,,,,,,,,,,,,,
1142,Hunting and Trapping,Employment,"1,730",335,285,319,939,[e],[e],[g],[a],,,,,,,,,,,,,,,,,,,,,
1142,Hunting and Trapping,"Annual Payroll ($1,000)","50,071","8,409","5,492","6,198","20,099",(D),(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
11421,Hunting and Trapping,Firms,368,290,41,23,354,11,2,367,1,,,,,,,,,,,,,,,,,,,,,
11421,Hunting and Trapping,Establishments,368,290,41,23,354,11,2,367,1,,,,,,,,,,,,,,,,,,,,,
11421,Hunting and Trapping,Employment,"1,730",335,285,319,939,[e],[e],[g],[a],,,,,,,,,,,,,,,,,,,,,
