NAICS,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+
485410,School & employee bus transportation,Employment,"168,940",0,"2,139","3,203","6,258","11,600","31,398","37,660","80,658","88,282"
485410,School & employee bus transportation,"Annual Payroll ($1,000)","2,471,790","7,494","22,535","33,279","71,256","134,564","425,981","595,036","1,155,581","1,316,209"
4855,Charter bus industry,Firms,"1,257",115,343,186,219,863,331,50,"1,244",13
4855,Charter bus industry,Establishments,"1,395",117,344,187,221,869,358,88,"1,315",80
4855,Charter bus industry,Employment,"33,406",0,718,"1,257","3,001","4,976","13,570","7,408","25,954","7,452"
4855,Charter bus industry,"Annual Payroll ($1,000)","659,518","3,443","12,344","19,148","46,080","81,015","258,347","146,074","485,436","174,082"
48551,Charter bus industry,Firms,"1,257",115,343,186,219,863,331,50,"1,244",13
48551,Charter bus industry,Establishments,"1,395",117,344,187,221,869,358,88,"1,315",80
48551,Charter bus industry,Employment,"33,406",0,718,"1,257","3,001","4,976","13,570","7,408","25,954","7,452"
48551,Charter bus industry,"Annual Payroll ($1,000)","659,518","3,443","12,344","19,148","46,080","81,015","258,347","146,074","485,436","174,082"
485510,Charter bus industry,Firms,"1,257",115,343,186,219,863,331,50,"1,244",13
485510,Charter bus industry,Establishments,"1,395",117,344,187,221,869,358,88,"1,315",80
485510,Charter bus industry,Employment,"33,406",0,718,"1,257","3,001","4,976","13,570","7,408","25,954","7,452"
485510,Charter bus industry,"Annual Payroll ($1,000)","659,518","3,443","12,344","19,148","46,080","81,015","258,347","146,074","485,436","174,082"
4859,Other transit & ground passenger transportation,Firms,"2,559",333,850,417,363,"1,963",443,111,"2,517",42
4859,Other transit & ground passenger transportation,Establishments,"2,767",333,850,417,364,"1,964",479,156,"2,599",168
4859,Other transit & ground passenger transportation,Employment,"52,881",0,"1,792","2,856","4,941","9,589","17,699","12,971","40,259","12,622"
4859,Other transit & ground passenger transportation,"Annual Payroll ($1,000)","1,013,246","13,850","33,749","44,733","82,165","174,497","301,419","256,751","732,667","280,579"
48599,Other transit & ground passenger transportation,Firms,"2,559",333,850,417,363,"1,963",443,111,"2,517",42
48599,Other transit & ground passenger transportation,Establishments,"2,767",333,850,417,364,"1,964",479,156,"2,599",168
48599,Other transit & ground passenger transportation,Employment,"52,881",0,"1,792","2,856","4,941","9,589","17,699","12,971","40,259","12,622"
48599,Other transit & ground passenger transportation,"Annual Payroll ($1,000)","1,013,246","13,850","33,749","44,733","82,165","174,497","301,419","256,751","732,667","280,579"
485991,Special needs transportation,Firms,"1,714",207,540,291,257,"1,295",305,81,"1,681",33
485991,Special needs transportation,Establishments,"1,887",207,540,291,258,"1,296",334,125,"1,755",132
485991,Special needs transportation,Employment,"35,862",0,"1,145","2,001","3,512","6,658","11,872","8,937","27,467","8,395"
485991,Special needs transportation,"Annual Payroll ($1,000)","697,419","7,255","22,282","30,197","61,725","121,459","208,693","184,734","514,886","182,533"
485999,All other transit & ground passenger transportation,Firms,848,126,310,126,106,668,138,30,836,12
485999,All other transit & ground passenger transportation,Establishments,880,126,310,126,106,668,145,31,844,36
485999,All other transit & ground passenger transportation,Employment,"17,019",0,647,855,"1,429","2,931","5,827","4,034","12,792","4,227"
485999,All other transit & ground passenger transportation,"Annual Payroll ($1,000)","315,827","6,595","11,467","14,536","20,440","53,038","92,726","72,017","217,781","98,046"
486,Pipeline transportation,Firms,237,24,62,23,16,125,20,19,164,73
486,Pipeline transportation,Establishments,"2,785",24,62,23,16,125,55,64,244,"2,541"
486,Pipeline transportation,Employment,"50,923",0,132,154,214,500,666,"1,796","2,962","47,961"
486,Pipeline transportation,"Annual Payroll ($1,000)","3,880,306","2,304","7,026","9,944","13,627","32,901","38,643","81,784","153,328","3,726,978"
4861,Pipeline transportation of crude oil,Firms,48,6,7,2,1,16,4,4,24,24
4861,Pipeline transportation of crude oil,Establishments,229,6,7,2,1,16,12,14,42,187
4861,Pipeline transportation of crude oil,Employment,"5,995",[a],13,[a],[a],[b],156,[f],716,"5,279"
4861,Pipeline transportation of crude oil,"Annual Payroll ($1,000)","430,919",(D),"1,028",(D),(D),(D),"10,607",(D),"35,750","395,169"
48611,Pipeline transportation of crude oil,Firms,48,6,7,2,1,16,4,4,24,24
48611,Pipeline transportation of crude oil,Establishments,229,6,7,2,1,16,12,14,42,187
48611,Pipeline transportation of crude oil,Employment,"5,995",[a],13,[a],[a],[b],156,[f],716,"5,279"
48611,Pipeline transportation of crude oil,"Annual Payroll ($1,000)","430,919",(D),"1,028",(D),(D),(D),"10,607",(D),"35,750","395,169"
486110,Pipeline transportation of crude oil,Firms,48,6,7,2,1,16,4,4,24,24
486110,Pipeline transportation of crude oil,Establishments,229,6,7,2,1,16,12,14,42,187
