NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0-4,5-9,10-19,<20,20-99,100-499,<500,500+,,,,,,,,,,,,,,,,,,,,,
561450,Credit Bureaus,Firms,677,334,144,92,570,72,18,660,17,,,,,,,,,,,,,,,,,,,,,
561450,Credit Bureaus,Establishments,"1,119",335,147,94,576,93,33,702,417,,,,,,,,,,,,,,,,,,,,,
561450,Credit Bureaus,Employment,"22,174",583,953,"1,267","2,803","2,495","2,024","7,322","14,852",,,,,,,,,,,,,,,,,,,,,
561450,Credit Bureaus,"Annual Payroll ($1,000)","1,577,142","21,148","32,163","44,514","97,825","139,882","74,897","312,604","1,264,538",,,,,,,,,,,,,,,,,,,,,
56149,Other Business Support Services,Firms,"7,372","5,283",922,518,"6,723",417,118,"7,258",114,,,,,,,,,,,,,,,,,,,,,
56149,Other Business Support Services,Establishments,"7,858","5,295",943,549,"6,787",502,241,"7,530",328,,,,,,,,,,,,,,,,,,,,,
56149,Other Business Support Services,Employment,"83,003","7,504","6,059","6,915","20,478","14,289","10,460","45,227","37,776",,,,,,,,,,,,,,,,,,,,,
56149,Other Business Support Services,"Annual Payroll ($1,000)","2,833,670","293,987","212,973","247,286","754,246","452,425","286,140","1,492,811","1,340,859",,,,,,,,,,,,,,,,,,,,,
561491,Repossession Services,Firms,900,529,220,98,847,43,6,896,4,,,,,,,,,,,,,,,,,,,,,
561491,Repossession Services,Establishments,970,529,221,106,856,88,19,963,7,,,,,,,,,,,,,,,,,,,,,
561491,Repossession Services,Employment,"5,793",945,"1,449","1,303","3,697","1,479",548,"5,724",69,,,,,,,,,,,,,,,,,,,,,
561491,Repossession Services,"Annual Payroll ($1,000)","174,560","26,509","42,263","39,032","107,804","44,703","18,921","171,428","3,132",,,,,,,,,,,,,,,,,,,,,
561492,Court Reporting and Stenotype Services,Firms,"3,306","2,747",309,141,"3,197",94,10,"3,301",5,,,,,,,,,,,,,,,,,,,,,
561492,Court Reporting and Stenotype Services,Establishments,"3,431","2,755",322,158,"3,235",121,40,"3,396",35,,,,,,,,,,,,,,,,,,,,,
561492,Court Reporting and Stenotype Services,Employment,"13,259","3,680","1,989","1,906","7,575","3,055","1,921","12,551",708,,,,,,,,,,,,,,,,,,,,,
561492,Court Reporting and Stenotype Services,"Annual Payroll ($1,000)","517,728","125,886","74,319","77,787","277,992","133,332","69,768","481,092","36,636",,,,,,,,,,,,,,,,,,,,,
561499,All Other Business Support Services,Firms,"3,168","2,007",393,279,"2,679",280,102,"3,061",107,,,,,,,,,,,,,,,,,,,,,
561499,All Other Business Support Services,Establishments,"3,457","2,011",400,285,"2,696",293,182,"3,171",286,,,,,,,,,,,,,,,,,,,,,
561499,All Other Business Support Services,Employment,"63,951","2,879","2,621","3,706","9,206","9,755","7,991","26,952","36,999",,,,,,,,,,,,,,,,,,,,,
561499,All Other Business Support Services,"Annual Payroll ($1,000)","2,141,382","141,592","96,391","130,467","368,450","274,390","197,451","840,291","1,301,091",,,,,,,,,,,,,,,,,,,,,
5615,Travel Arrangement and Reservation Services,Firms,"17,439","12,180","2,749","1,249","16,178",922,213,"17,313",126,,,,,,,,,,,,,,,,,,,,,
5615,Travel Arrangement and Reservation Services,Establishments,"23,268","12,215","2,818","1,395","16,428","1,666","1,294","19,388","3,880",,,,,,,,,,,,,,,,,,,,,
5615,Travel Arrangement and Reservation Services,Employment,"253,539","21,566","17,580","16,360","55,506","35,563","35,351","126,420","127,119",,,,,,,,,,,,,,,,,,,,,
5615,Travel Arrangement and Reservation Services,"Annual Payroll ($1,000)","10,749,023","643,282","518,686","552,176","1,714,144","1,324,813","1,366,950","4,405,907","6,343,116",,,,,,,,,,,,,,,,,,,,,
56151,Travel Agencies,Firms,"12,248","8,951","1,896",732,"11,579",483,114,"12,176",72,,,,,,,,,,,,,,,,,,,,,
56151,Travel Agencies,Establishments,"16,640","8,977","1,957",851,"11,785","1,044",931,"13,760","2,880",,,,,,,,,,,,,,,,,,,,,
56151,Travel Agencies,Employment,"129,216","16,035","11,979","9,533","37,547","18,113","16,699","72,359","56,857",,,,,,,,,,,,,,,,,,,,,
56151,Travel Agencies,"Annual Payroll ($1,000)","5,280,515","416,952","310,522","307,616","1,035,090","636,431","614,889","2,286,410","2,994,105",,,,,,,,,,,,,,,,,,,,,
561510,Travel Agencies,Firms,"12,248","8,951","1,896",732,"11,579",483,114,"12,176",72,,,,,,,,,,,,,,,,,,,,,
561510,Travel Agencies,Establishments,"16,640","8,977","1,957",851,"11,785","1,044",931,"13,760","2,880",,,,,,,,,,,,,,,,,,,,,
561510,Travel Agencies,Employment,"129,216","16,035","11,979","9,533","37,547","18,113","16,699","72,359","56,857",,,,,,,,,,,,,,,,,,,,,
561510,Travel Agencies,"Annual Payroll ($1,000)","5,280,515","416,952","310,522","307,616","1,035,090","636,431","614,889","2,286,410","2,994,105",,,,,,,,,,,,,,,,,,,,,
56152,Tour Operators,Firms,"2,629","1,672",430,273,"2,375",192,41,"2,608",21,,,,,,,,,,,,,,,,,,,,,
56152,Tour Operators,Establishments,"2,802","1,677",435,279,"2,391",229,87,"2,707",95,,,,,,,,,,,,,,,,,,,,,
56152,Tour Operators,Employment,"28,815","2,747","2,835","3,612","9,194","6,745","5,654","21,593","7,222",,,,,,,,,,,,,,,,,,,,,
56152,Tour Operators,"Annual Payroll ($1,000)","1,115,245","108,957","108,431","123,259","340,647","272,870","220,990","834,507","280,738",,,,,,,,,,,,,,,,,,,,,
561520,Tour Operators,Firms,"2,629","1,672",430,273,"2,375",192,41,"2,608",21,,,,,,,,,,,,,,,,,,,,,
561520,Tour Operators,Establishments,"2,802","1,677",435,279,"2,391",229,87,"2,707",95,,,,,,,,,,,,,,,,,,,,,
561520,Tour Operators,Employment,"28,815","2,747","2,835","3,612","9,194","6,745","5,654","21,593","7,222",,,,,,,,,,,,,,,,,,,,,
