NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0-4,5-9,10-19,<20,20-99,100-499,<500,500+,,,,,,,,,,,,,,,,,,,,,
1152,Support Activities for Animal Production,Establishments,"4,217","3,256",518,235,"4,009",115,65,"4,189",28,,,,,,,,,,,,,,,,,,,,,
1152,Support Activities for Animal Production,Employment,"19,062","4,936","3,285","3,027","11,248","3,730","2,813","17,791","1,271",,,,,,,,,,,,,,,,,,,,,
1152,Support Activities for Animal Production,"Annual Payroll ($1,000)","505,963","112,739","61,314","65,163","239,216","105,019","111,173","455,408","50,555",,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,Firms,"4,148","3,254",516,234,"4,004",114,20,"4,138",10,,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,Establishments,"4,217","3,256",518,235,"4,009",115,65,"4,189",28,,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,Employment,"19,062","4,936","3,285","3,027","11,248","3,730","2,813","17,791","1,271",,,,,,,,,,,,,,,,,,,,,
11521,Support Activities for Animal Production,"Annual Payroll ($1,000)","505,963","112,739","61,314","65,163","239,216","105,019","111,173","455,408","50,555",,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,Firms,"4,148","3,254",516,234,"4,004",114,20,"4,138",10,,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,Establishments,"4,217","3,256",518,235,"4,009",115,65,"4,189",28,,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,Employment,"19,062","4,936","3,285","3,027","11,248","3,730","2,813","17,791","1,271",,,,,,,,,,,,,,,,,,,,,
115210,Support Activities for Animal Production,"Annual Payroll ($1,000)","505,963","112,739","61,314","65,163","239,216","105,019","111,173","455,408","50,555",,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,Firms,"1,613","1,161",206,95,"1,462",119,17,"1,598",15,,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,Establishments,"1,682","1,161",206,96,"1,463",163,21,"1,647",35,,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,Employment,"13,491","1,539","1,322","1,305","4,166","4,678","1,741","10,585","2,906",,,,,,,,,,,,,,,,,,,,,
1153,Support Activities for Forestry,"Annual Payroll ($1,000)","438,816","67,069","45,632","40,341","153,042","136,121","61,977","351,140","87,676",,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,Firms,"1,613","1,161",206,95,"1,462",119,17,"1,598",15,,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,Establishments,"1,682","1,161",206,96,"1,463",163,21,"1,647",35,,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,Employment,"13,491","1,539","1,322","1,305","4,166","4,678","1,741","10,585","2,906",,,,,,,,,,,,,,,,,,,,,
11531,Support Activities for Forestry,"Annual Payroll ($1,000)","438,816","67,069","45,632","40,341","153,042","136,121","61,977","351,140","87,676",,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,Firms,"1,613","1,161",206,95,"1,462",119,17,"1,598",15,,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,Establishments,"1,682","1,161",206,96,"1,463",163,21,"1,647",35,,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,Employment,"13,491","1,539","1,322","1,305","4,166","4,678","1,741","10,585","2,906",,,,,,,,,,,,,,,,,,,,,
115310,Support Activities for Forestry,"Annual Payroll ($1,000)","438,816","67,069","45,632","40,341","153,042","136,121","61,977","351,140","87,676",,,,,,,,,,,,,,,,,,,,,
21,Mining,Firms,"20,583","11,554","3,252","2,427","17,233","2,445",571,"20,249",334,,,,,,,,,,,,,,,,,,,,,
21,Mining,Establishments,"26,248","11,585","3,309","2,520","17,414","3,042","1,422","21,878","4,370",,,,,,,,,,,,,,,,,,,,,
21,Mining,Employment,"554,333","17,836","21,361","32,689","71,886","92,614","80,038","244,538","309,795",,,,,,,,,,,,,,,,,,,,,
21,Mining,"Annual Payroll ($1,000)","37,489,095","1,258,029","1,042,917","1,688,568","3,989,514","5,184,131","5,138,294","14,311,939","23,177,156",,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,Firms,"6,606","4,514","1,007",542,"6,063",365,85,"6,513",93,,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,Establishments,"7,803","4,525","1,026",558,"6,109",451,252,"6,812",991,,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,Employment,"92,683","7,182","6,384","7,095","20,661","13,352","11,740","45,753","46,930",,,,,,,,,,,,,,,,,,,,,
211,Oil and Gas Extraction,"Annual Payroll ($1,000)","9,566,853","526,746","381,965","473,171","1,381,882","1,223,171","1,324,084","3,929,137","5,637,716",,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,Firms,"6,606","4,514","1,007",542,"6,063",365,85,"6,513",93,,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,Establishments,"7,803","4,525","1,026",558,"6,109",451,252,"6,812",991,,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,Employment,"92,683","7,182","6,384","7,095","20,661","13,352","11,740","45,753","46,930",,,,,,,,,,,,,,,,,,,,,
2111,Oil and Gas Extraction,"Annual Payroll ($1,000)","9,566,853","526,746","381,965","473,171","1,381,882","1,223,171","1,324,084","3,929,137","5,637,716",,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,Firms,"6,606","4,514","1,007",542,"6,063",365,85,"6,513",93,,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,Establishments,"7,803","4,525","1,026",558,"6,109",451,252,"6,812",991,,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,Employment,"92,683","7,182","6,384","7,095","20,661","13,352","11,740","45,753","46,930",,,,,,,,,,,,,,,,,,,,,
21111,Oil and Gas Extraction,"Annual Payroll ($1,000)","9,566,853","526,746","381,965","473,171","1,381,882","1,223,171","1,324,084","3,929,137","5,637,716",,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,Firms,"6,498","4,462",993,531,"5,986",354,76,"6,416",82,,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,Establishments,"7,276","4,473","1,012",547,"6,032",436,224,"6,692",584,,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,Employment,"78,367","7,108","6,293","6,950","20,351","12,882","10,673","43,906","34,461",,,,,,,,,,,,,,,,,,,,,
211111,Crude Petroleum and Natural Gas Extraction,"Annual Payroll ($1,000)","8,297,839","521,513","375,014","463,422","1,359,949","1,189,963","1,261,728","3,811,640","4,486,199",,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,Firms,144,52,14,11,77,13,14,104,40,,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,Establishments,527,52,14,11,77,15,28,120,407,,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,Employment,"14,316",74,91,145,310,470,"1,067","1,847","12,469",,,,,,,,,,,,,,,,,,,,,
211112,Natural Gas Liquid Extraction,"Annual Payroll ($1,000)","1,269,014","5,233","6,951","9,749","21,933","33,208","62,356","117,497","1,151,517",,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),Firms,"4,571","1,755",797,708,"3,260",877,261,"4,398",173,,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),Establishments,"7,278","1,759",801,721,"3,281","1,136",671,"5,088","2,190",,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),Employment,"205,349","2,852","5,342","9,567","17,761","31,494","31,332","80,587","124,762",,,,,,,,,,,,,,,,,,,,,
212,Mining (except Oil and Gas),"Annual Payroll ($1,000)","11,680,859","167,856","204,592","405,730","778,178","1,455,251","1,693,545","3,926,974","7,753,885",,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,Firms,707,190,94,96,380,214,71,665,42,,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,Establishments,"1,147",194,96,100,390,233,149,772,375,,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,Employment,"77,939",242,634,"1,298","2,174","8,464","12,583","23,221","54,718",,,,,,,,,,,,,,,,,,,,,
2121,Coal Mining,"Annual Payroll ($1,000)","4,921,747","32,244","23,268","56,797","112,309","395,270","660,046","1,167,625","3,754,122",,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,Firms,707,190,94,96,380,214,71,665,42,,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,Establishments,"1,147",194,96,100,390,233,149,772,375,,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,Employment,"77,939",242,634,"1,298","2,174","8,464","12,583","23,221","54,718",,,,,,,,,,,,,,,,,,,,,
21211,Coal Mining,"Annual Payroll ($1,000)","4,921,747","32,244","23,268","56,797","112,309","395,270","660,046","1,167,625","3,754,122",,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,Firms,393,117,47,48,212,106,41,359,34,,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,Establishments,606,120,49,48,217,115,78,410,196,,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,Employment,"36,357",143,[e],623,[g],"4,228","6,355",[j],[j],,,,,,,,,,,,,,,,,,,,,
212111,Bituminous Coal and Lignite Surface Mining,"Annual Payroll ($1,000)","2,305,914","18,600",(D),"24,751",(D),"200,136","331,994",(D),(D),,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,Firms,289,51,36,37,124,102,33,259,30,,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,Establishments,466,51,36,39,126,105,58,289,177,,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,Employment,"40,340",53,257,503,813,"3,949","5,881","10,643","29,697",,,,,,,,,,,,,,,,,,,,,
212112,Bituminous Coal Underground Mining,"Annual Payroll ($1,000)","2,549,092","10,283","11,182","24,927","46,392","179,928","313,261","539,581","2,009,511",,,,,,,,,,,,,,,,,,,,,
212113,Anthracite Mining,Firms,61,23,11,12,46,8,5,59,2,,,,,,,,,,,,,,,,,,,,,
212113,Anthracite Mining,Establishments,75,23,11,13,47,13,13,73,2,,,,,,,,,,,,,,,,,,,,,
212113,Anthracite Mining,Employment,"1,242",46,[b],172,[e],287,347,[f],[e],,,,,,,,,,,,,,,,,,,,,
212113,Anthracite Mining,"Annual Payroll ($1,000)","66,741","3,361",(D),"7,119",(D),"15,206","14,791",(D),(D),,,,,,,,,,,,,,,,,,,,,
2122,Metal Ore Mining,Firms,239,131,38,18,187,19,14,220,19,,,,,,,,,,,,,,,,,,,,,
2122,Metal Ore Mining,Establishments,307,131,39,18,188,26,21,235,72,,,,,,,,,,,,,,,,,,,,,
2122,Metal Ore Mining,Employment,"27,687",163,248,242,653,632,"3,485","4,770","22,917",,,,,,,,,,,,,,,,,,,,,
2122,Metal Ore Mining,"Annual Payroll ($1,000)","1,827,248","17,522","16,782","20,574","54,878","55,002","258,736","368,616","1,458,632",,,,,,,,,,,,,,,,,,,,,
21221,Iron Ore Mining,Firms,18,5,5,3,13,2,0,15,3,,,,,,,,,,,,,,,,,,,,,
21221,Iron Ore Mining,Establishments,24,5,5,3,13,2,0,15,9,,,,,,,,,,,,,,,,,,,,,
21221,Iron Ore Mining,Employment,[h],8,32,35,75,[b],0,[c],[h],,,,,,,,,,,,,,,,,,,,,
21221,Iron Ore Mining,"Annual Payroll ($1,000)",(D),"2,451","2,014","1,333","5,798",(D),0,(D),(D),,,,,,,,,,,,,,,,,,,,,
212210,Iron Ore Mining,Firms,18,5,5,3,13,2,0,15,3,,,,,,,,,,,,,,,,,,,,,
212210,Iron Ore Mining,Establishments,24,5,5,3,13,2,0,15,9,,,,,,,,,,,,,,,,,,,,,
212210,Iron Ore Mining,Employment,[h],8,32,35,75,[b],0,[c],[h],,,,,,,,,,,,,,,,,,,,,
212210,Iron Ore Mining,"Annual Payroll ($1,000)",(D),"2,451","2,014","1,333","5,798",(D),0,(D),(D),,,,,,,,,,,,,,,,,,,,,
21222,Gold Ore and Silver Ore Mining,Firms,132,86,19,7,112,7,8,127,5,,,,,,,,,,,,,,,,,,,,,
21222,Gold Ore and Silver Ore Mining,Establishments,157,86,20,7,113,8,13,134,23,,,,,,,,,,,,,,,,,,,,,
21222,Gold Ore and Silver Ore Mining,Employment,"9,146",107,130,93,330,146,"1,957","2,433","6,713",,,,,,,,,,,,,,,,,,,,,
21222,Gold Ore and Silver Ore Mining,"Annual Payroll ($1,000)","636,572","10,396","9,316","7,809","27,521","32,131","145,299","204,951","431,621",,,,,,,,,,,,,,,,,,,,,
212221,Gold Ore Mining,Firms,125,83,18,6,107,7,6,120,5,,,,,,,,,,,,,,,,,,,,,
212221,Gold Ore Mining,Establishments,149,83,19,6,108,8,10,126,23,,,,,,,,,,,,,,,,,,,,,
212221,Gold Ore Mining,Employment,"8,507",[c],[c],[b],299,146,"1,349","1,794","6,713",,,,,,,,,,,,,,,,,,,,,
212221,Gold Ore Mining,"Annual Payroll ($1,000)","600,502",(D),(D),(D),"25,090","32,131","111,660","168,881","431,621",,,,,,,,,,,,,,,,,,,,,
212222,Silver Ore Mining,Firms,8,3,1,1,5,0,3,8,0,,,,,,,,,,,,,,,,,,,,,
212222,Silver Ore Mining,Establishments,8,3,1,1,5,0,3,8,0,,,,,,,,,,,,,,,,,,,,,
212222,Silver Ore Mining,Employment,639,[a],[a],[a],31,0,608,639,0,,,,,,,,,,,,,,,,,,,,,
212222,Silver Ore Mining,"Annual Payroll ($1,000)","36,070",(D),(D),(D),"2,431",0,"33,639","36,070",0,,,,,,,,,,,,,,,,,,,,,
21223,"Copper, Nickel, Lead, and Zinc Mining",Firms,35,15,4,4,23,2,3,28,7,,,,,,,,,,,,,,,,,,,,,
21223,"Copper, Nickel, Lead, and Zinc Mining",Establishments,53,15,4,4,23,2,3,28,25,,,,,,,,,,,,,,,,,,,,,
21223,"Copper, Nickel, Lead, and Zinc Mining",Employment,"10,176",17,16,61,94,[b],[f],"1,118","9,058",,,,,,,,,,,,,,,,,,,,,
21223,"Copper, Nickel, Lead, and Zinc Mining","Annual Payroll ($1,000)","610,920","2,047","1,645","4,281","7,973",(D),(D),"86,246","524,674",,,,,,,,,,,,,,,,,,,,,
212231,Lead Ore and Zinc Ore Mining,Firms,11,4,1,1,6,0,1,7,4,,,,,,,,,,,,,,,,,,,,,
212231,Lead Ore and Zinc Ore Mining,Establishments,16,4,1,1,6,0,1,7,9,,,,,,,,,,,,,,,,,,,,,
212231,Lead Ore and Zinc Ore Mining,Employment,"1,444",[a],[a],[a],[b],0,[c],143,"1,301",,,,,,,,,,,,,,,,,,,,,
212231,Lead Ore and Zinc Ore Mining,"Annual Payroll ($1,000)","102,499",(D),(D),(D),(D),0,(D),"8,742","93,757",,,,,,,,,,,,,,,,,,,,,
212234,Copper Ore and Nickel Ore Mining,Firms,25,11,3,3,17,2,2,21,4,,,,,,,,,,,,,,,,,,,,,
212234,Copper Ore and Nickel Ore Mining,Establishments,37,11,3,3,17,2,2,21,16,,,,,,,,,,,,,,,,,,,,,
212234,Copper Ore and Nickel Ore Mining,Employment,"8,732",[a],[a],[b],[b],[b],[f],975,"7,757",,,,,,,,,,,,,,,,,,,,,
212234,Copper Ore and Nickel Ore Mining,"Annual Payroll ($1,000)","508,421",(D),(D),(D),(D),(D),(D),"77,504","430,917",,,,,,,,,,,,,,,,,,,,,
21229,Other Metal Ore Mining,Firms,58,25,10,4,39,9,3,51,7,,,,,,,,,,,,,,,,,,,,,
21229,Other Metal Ore Mining,Establishments,73,25,10,4,39,14,5,58,15,,,,,,,,,,,,,,,,,,,,,
21229,Other Metal Ore Mining,Employment,[h],31,70,53,154,342,[f],[g],[g],,,,,,,,,,,,,,,,,,,,,
21229,Other Metal Ore Mining,"Annual Payroll ($1,000)",(D),"2,628","3,807","7,151","13,586","16,660",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
212291,Uranium-Radium-Vanadium Ore Mining,Firms,23,8,4,1,13,6,1,20,3,,,,,,,,,,,,,,,,,,,,,
212291,Uranium-Radium-Vanadium Ore Mining,Establishments,34,8,4,1,13,11,1,25,9,,,,,,,,,,,,,,,,,,,,,
212291,Uranium-Radium-Vanadium Ore Mining,Employment,[f],6,30,[a],[b],275,[c],[e],[c],,,,,,,,,,,,,,,,,,,,,
212291,Uranium-Radium-Vanadium Ore Mining,"Annual Payroll ($1,000)",(D),945,"2,495",(D),(D),"14,093",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
212299,All Other Metal Ore Mining,Firms,35,17,6,3,26,3,2,31,4,,,,,,,,,,,,,,,,,,,,,
212299,All Other Metal Ore Mining,Establishments,39,17,6,3,26,3,4,33,6,,,,,,,,,,,,,,,,,,,,,
212299,All Other Metal Ore Mining,Employment,"2,898",25,40,[b],[c],67,[e],652,"2,246",,,,,,,,,,,,,,,,,,,,,
212299,All Other Metal Ore Mining,"Annual Payroll ($1,000)","190,294","1,683","1,312",(D),(D),"2,567",(D),"40,221","150,073",,,,,,,,,,,,,,,,,,,,,
2123,Nonmetallic Mineral Mining and Quarrying,Firms,"3,637","1,434",665,594,"2,693",646,179,"3,518",119,,,,,,,,,,,,,,,,,,,,,
2123,Nonmetallic Mineral Mining and Quarrying,Establishments,"5,824","1,434",666,603,"2,703",877,501,"4,081","1,743",,,,,,,,,,,,,,,,,,,,,
2123,Nonmetallic Mineral Mining and Quarrying,Employment,"99,723","2,447","4,460","8,027","14,934","22,398","15,264","52,596","47,127",,,,,,,,,,,,,,,,,,,,,
2123,Nonmetallic Mineral Mining and Quarrying,"Annual Payroll ($1,000)","4,931,864","118,090","164,542","328,359","610,991","1,004,979","774,763","2,390,733","2,541,131",,,,,,,,,,,,,,,,,,,,,
21231,Stone Mining and Quarrying,Firms,"1,501",495,268,271,"1,034",317,84,"1,435",66,,,,,,,,,,,,,,,,,,,,,
21231,Stone Mining and Quarrying,Establishments,"2,759",495,268,274,"1,037",451,246,"1,734","1,025",,,,,,,,,,,,,,,,,,,,,
21231,Stone Mining and Quarrying,Employment,"51,518",845,"1,810","3,656","6,311","11,443","7,951","25,705","25,813",,,,,,,,,,,,,,,,,,,,,
21231,Stone Mining and Quarrying,"Annual Payroll ($1,000)","2,521,283","40,301","61,598","148,951","250,850","514,831","389,606","1,155,287","1,365,996",,,,,,,,,,,,,,,,,,,,,
212311,Dimension Stone Mining and Quarrying,Firms,415,205,87,52,344,53,8,405,10,,,,,,,,,,,,,,,,,,,,,
212311,Dimension Stone Mining and Quarrying,Establishments,436,205,87,52,344,58,9,411,25,,,,,,,,,,,,,,,,,,,,,
212311,Dimension Stone Mining and Quarrying,Employment,"4,878",305,581,697,"1,583","1,897",951,"4,431",447,,,,,,,,,,,,,,,,,,,,,
212311,Dimension Stone Mining and Quarrying,"Annual Payroll ($1,000)","180,096","16,172","17,822","22,799","56,793","62,882","35,415","155,090","25,006",,,,,,,,,,,,,,,,,,,,,
212312,Crushed and Broken Limestone Mining and Quarrying,Firms,606,118,95,113,326,176,58,560,46,,,,,,,,,,,,,,,,,,,,,
212312,Crushed and Broken Limestone Mining and Quarrying,Establishments,"1,446",118,95,116,329,288,194,811,635,,,,,,,,,,,,,,,,,,,,,
212312,Crushed and Broken Limestone Mining and Quarrying,Employment,"30,160",228,642,"1,582","2,452","6,110","5,600","14,162","15,998",,,,,,,,,,,,,,,,,,,,,
212312,Crushed and Broken Limestone Mining and Quarrying,"Annual Payroll ($1,000)","1,481,208","9,972","22,629","64,282","96,883","282,013","265,588","644,484","836,724",,,,,,,,,,,,,,,,,,,,,
212313,Crushed and Broken Granite Mining and Quarrying,Firms,130,33,22,24,79,22,9,110,20,,,,,,,,,,,,,,,,,,,,,
212313,Crushed and Broken Granite Mining and Quarrying,Establishments,357,33,22,24,79,25,14,118,239,,,,,,,,,,,,,,,,,,,,,
212313,Crushed and Broken Granite Mining and Quarrying,Employment,"8,301",72,154,323,549,885,387,"1,821","6,480",,,,,,,,,,,,,,,,,,,,,
212313,Crushed and Broken Granite Mining and Quarrying,"Annual Payroll ($1,000)","435,433","3,982","5,689","14,456","24,127","42,874","24,362","91,363","344,070",,,,,,,,,,,,,,,,,,,,,
212319,Other Crushed and Broken Stone Mining and Quarrying,Firms,406,139,64,82,285,71,19,375,31,,,,,,,,,,,,,,,,,,,,,
212319,Other Crushed and Broken Stone Mining and Quarrying,Establishments,520,139,64,82,285,80,29,394,126,,,,,,,,,,,,,,,,,,,,,
212319,Other Crushed and Broken Stone Mining and Quarrying,Employment,"8,179",240,433,"1,054","1,727","2,551","1,013","5,291","2,888",,,,,,,,,,,,,,,,,,,,,
212319,Other Crushed and Broken Stone Mining and Quarrying,"Annual Payroll ($1,000)","424,546","10,175","15,458","47,414","73,047","127,062","64,241","264,350","160,196",,,,,,,,,,,,,,,,,,,,,
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",Firms,"1,976",846,363,293,"1,502",305,105,"1,912",64,,,,,,,,,,,,,,,,,,,,,
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",Establishments,"2,749",846,363,296,"1,505",369,229,"2,103",646,,,,,,,,,,,,,,,,,,,,,
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",Employment,"37,842","1,440","2,421","3,911","7,772","9,317","5,890","22,979","14,863",,,,,,,,,,,,,,,,,,,,,
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying","Annual Payroll ($1,000)","1,825,961","71,001","94,174","159,298","324,473","418,869","300,858","1,044,200","781,761",,,,,,,,,,,,,,,,,,,,,
212321,Construction Sand and Gravel Mining,Firms,"1,797",782,333,277,"1,392",264,91,"1,747",50,,,,,,,,,,,,,,,,,,,,,
212321,Construction Sand and Gravel Mining,Establishments,"2,448",782,333,280,"1,395",315,197,"1,907",541,,,,,,,,,,,,,,,,,,,,,
212321,Construction Sand and Gravel Mining,Employment,"27,798","1,322","2,224","3,696","7,242","7,845","3,967","19,054","8,744",,,,,,,,,,,,,,,,,,,,,
212321,Construction Sand and Gravel Mining,"Annual Payroll ($1,000)","1,349,948","64,614","85,945","149,472","300,031","359,311","217,996","877,338","472,610",,,,,,,,,,,,,,,,,,,,,
212322,Industrial Sand Mining,Firms,99,41,16,8,65,18,4,87,12,,,,,,,,,,,,,,,,,,,,,
212322,Industrial Sand Mining,Establishments,150,41,16,8,65,20,9,94,56,,,,,,,,,,,,,,,,,,,,,
212322,Industrial Sand Mining,Employment,"3,187",61,107,108,276,532,173,981,"2,206",,,,,,,,,,,,,,,,,,,,,
212322,Industrial Sand Mining,"Annual Payroll ($1,000)","151,350","3,042","4,270","5,624","12,936","22,036","9,797","44,769","106,581",,,,,,,,,,,,,,,,,,,,,
212324,Kaolin and Ball Clay Mining,Firms,22,2,0,2,4,6,7,17,5,,,,,,,,,,,,,,,,,,,,,
212324,Kaolin and Ball Clay Mining,Establishments,37,2,0,2,4,6,9,19,18,,,,,,,,,,,,,,,,,,,,,
212324,Kaolin and Ball Clay Mining,Employment,"3,406",[a],0,[b],41,243,"1,290","1,574","1,832",,,,,,,,,,,,,,,,,,,,,
212324,Kaolin and Ball Clay Mining,"Annual Payroll ($1,000)","174,574",(D),0,(D),"1,661","8,890","51,377","61,928","112,646",,,,,,,,,,,,,,,,,,,,,
212325,Clay and Ceramic and Refractory Minerals Mining,Firms,80,21,14,6,41,19,7,67,13,,,,,,,,,,,,,,,,,,,,,
212325,Clay and Ceramic and Refractory Minerals Mining,Establishments,114,21,14,6,41,28,14,83,31,,,,,,,,,,,,,,,,,,,,,
212325,Clay and Ceramic and Refractory Minerals Mining,Employment,"3,451",[b],90,[b],213,697,460,"1,370","2,081",,,,,,,,,,,,,,,,,,,,,
212325,Clay and Ceramic and Refractory Minerals Mining,"Annual Payroll ($1,000)","150,089",(D),"3,959",(D),"9,845","28,632","21,688","60,165","89,924",,,,,,,,,,,,,,,,,,,,,
21239,Other Nonmetallic Mineral Mining and Quarrying,Firms,254,93,35,32,160,46,14,220,34,,,,,,,,,,,,,,,,,,,,,
21239,Other Nonmetallic Mineral Mining and Quarrying,Establishments,316,93,35,33,161,57,26,244,72,,,,,,,,,,,,,,,,,,,,,
21239,Other Nonmetallic Mineral Mining and Quarrying,Employment,"10,363",162,229,460,851,"1,638","1,423","3,912","6,451",,,,,,,,,,,,,,,,,,,,,
21239,Other Nonmetallic Mineral Mining and Quarrying,"Annual Payroll ($1,000)","584,620","6,788","8,770","20,110","35,668","71,279","84,299","191,246","393,374",,,,,,,,,,,,,,,,,,,,,
212391,"Potash, Soda, and Borate Mineral Mining",Firms,14,1,0,1,2,3,1,6,8,,,,,,,,,,,,,,,,,,,,,
212391,"Potash, Soda, and Borate Mineral Mining",Establishments,19,1,0,1,2,4,1,7,12,,,,,,,,,,,,,,,,,,,,,
212391,"Potash, Soda, and Borate Mineral Mining",Employment,"2,875",[a],0,[a],[a],[c],[b],154,"2,721",,,,,,,,,,,,,,,,,,,,,
212391,"Potash, Soda, and Borate Mineral Mining","Annual Payroll ($1,000)","182,215",(D),0,(D),(D),(D),(D),"8,985","173,230",,,,,,,,,,,,,,,,,,,,,
212392,Phosphate Rock Mining,Firms,10,2,2,0,4,1,1,6,4,,,,,,,,,,,,,,,,,,,,,
212392,Phosphate Rock Mining,Establishments,11,2,2,0,4,1,1,6,5,,,,,,,,,,,,,,,,,,,,,
212392,Phosphate Rock Mining,Employment,"1,013",[a],[a],0,[a],[a],[c],[c],[f],,,,,,,,,,,,,,,,,,,,,
212392,Phosphate Rock Mining,"Annual Payroll ($1,000)","88,150",(D),(D),0,(D),(D),(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
212393,Other Chemical and Fertilizer Mineral Mining,Firms,41,15,4,2,21,9,3,33,8,,,,,,,,,,,,,,,,,,,,,
212393,Other Chemical and Fertilizer Mineral Mining,Establishments,50,15,4,2,21,11,3,35,15,,,,,,,,,,,,,,,,,,,,,
212393,Other Chemical and Fertilizer Mineral Mining,Employment,"1,834",[b],[b],[b],86,318,[e],[f],[g],,,,,,,,,,,,,,,,,,,,,
212393,Other Chemical and Fertilizer Mineral Mining,"Annual Payroll ($1,000)","91,492",(D),(D),(D),"5,189","14,279",(D),(D),(D),,,,,,,,,,,,,,,,,,,,,
212399,All Other Nonmetallic Mineral Mining,Firms,193,75,29,29,133,35,9,177,16,,,,,,,,,,,,,,,,,,,,,
212399,All Other Nonmetallic Mineral Mining,Establishments,236,75,29,30,134,41,21,196,40,,,,,,,,,,,,,,,,,,,,,
212399,All Other Nonmetallic Mineral Mining,Employment,"4,641",132,189,417,738,"1,206",839,"2,783","1,858",,,,,,,,,,,,,,,,,,,,,
212399,All Other Nonmetallic Mineral Mining,"Annual Payroll ($1,000)","222,763","4,825","7,085","16,593","28,503","50,717","35,850","115,070","107,693",,,,,,,,,,,,,,,,,,,,,
213,Support Activities for Mining,Firms,"9,514","5,285","1,452","1,183","7,920","1,219",245,"9,384",130,,,,,,,,,,,,,,,,,,,,,
213,Support Activities for Mining,Establishments,"11,167","5,301","1,482","1,241","8,024","1,455",499,"9,978","1,189",,,,,,,,,,,,,,,,,,,,,
213,Support Activities for Mining,Employment,"256,301","7,802","9,635","16,027","33,464","47,768","36,966","118,198","138,103",,,,,,,,,,,,,,,,,,,,,
